766			
479	389	571	2
395	1	534	4
148	207	409	498
2	729	6	695
572	6	708	393
571	727	4	5
746	397	575	573
152	733	638	746
573	524	11	13
11	497	532	14
12	531	10	9
754	490	616	11
9	706	403	14
13	10	18	15
14	402	530	20
742	692	17	581
16	109	116	620
14	512	535	20
20	404	408	24
18	15	19	22
645	628	148	536
20	527	421	24
179	28	629	30
19	22	513	27
742	159	174	28
411	440	539	442
24	411	410	538
25	254	23	29
174	28	750	30
596	23	29	745
645	192	581	525
51	332	406	
577	330	51	
418	682	423	
711	36	606	
626	35	153	
52	333	420	
422	358	419	
58	345	578	
59	348	58	
208	144	734	
143	483	484	
64	349	425	
66	334	426	
579	141	427	
420	50	339	
764	48	564	
587	47	443	
62	673	687	
578	46	565	
33	584	32	
406	429	37	
485	335	731	
758	55	519	
586	54	183	
426	64	577	
552	630		
40	429	39	
425	584	40	
462			
308	162	647	
690	431	49	
161	672	305	
687	56	43	
588	168	253	
368	431	44	
560	68	709	
500	67	196	
566	170	433	
724	163	366	
113	97		
177	79		
601	142		
92	738	739	
454	644	595	
545	146	502	
591	351	435	
344	436	437	
146	72	487	434
103	354	439	
437	463	115	
601	304		
109	174	592	
110	355	440	
112	353	441	
440	442	593	
263			
444	381	111	
91	442	357	
594	740	732	
445	446	89	
595	447	74	
763	741	744	
757	667	448	
453	436	108	
130	686	208	
71	268		
304	157		
101	100		
474	99	126	
474	630	99	
117	383	107	
441	449	80	
116	207	338	
763	187	205	692
713	447	763	
102	449	444	
95	388	450	
742	17	83	
439	451	84	
88	451	445	
435	452	85	
309	71	282	
743			
81	119	454	
744	17	104	
448	452	102	
178	600		
450	115	661	
356	178		
601	602		
123	460		
663	122	248	
222	253		
603	461		
100	248		
220	218	604	
549	685		
529	234	567	151
606	96		
607	261	462	
417	711		
550	608	267	
649	214		
235	611	704	
280	219	613	
654	221		
266	211	615	
736	176		
579	558		
676	45	518	
177	73	542	
42	526	191	
179	41	629	
224	621		
76	79	258	
468	747	731	
391	392	21	3
346	556		
639	229	232	
464	129		
526	191	8	412
36	738	712	167
466	194	526	
496	695	753	748
350	623		
98	465	309	
233	217	238	
167	190	179	25
644	595	626	
390	63	308	
697	61	749	
628	70	725	
225	674		
629	726	191	
710	328	169	318
153	739	159	
631	65	751	
721	166	398	490
632	69	637	
657	226		
253	603		
468	200	640	
25	83	413	29
203	469	470	
564	139	609	240
142	72	438	
455	120	118	
159	144	180	23
190	179	208	596
237	659		
183	205	628	
55	568	735	182
748	209	715	
227	471		
231	310		
447	105	739	
215	650		
707	209	619	
159	686	180	413
143	165	752	152
31	726	618	
599	595	447	
624	154	733	
241	635		
68	210	632	
651	756	662	
387	683	651	
749	651	758	586
641	173	528	
252	239	256	
213	642	546	
696	250	175	
759	694	386	
105	182	645	
246	322		
391	407	104	3
96	41	180	223
189	184	617	
546	196	624	
646	138	354	
647	758		
475	202	648	
134	610	233	330
290	260	472	188
519	694		
330	158	332	
612	652	127	
653	136	353	
704	297	127	
137	243	657	
604	588	124	
208	734	350	
655	145	270	355
295	249	164	278
467	171	262	339
327	185	681	517
471	259	456	
271	150	334	
461	561	639	
659	244	186	
150	299	649	
214	291	158	
593	129	462	
602	236	135	
633	235	491	
558	242	181	
158	301	654	
540	201	319	
176	718	579	
310	247	195	
427	518	237	504
614	221	313	333
307	292	231	658
416	460	567	
319	256	477	206
241	660	289	635
126	264	123	
650	312	225	
503	565	203	
542	255	465	
541	300	201	
124	65	172	554
581	28	726	750
478	251	523	
201	562	246	
265	481	263	
146	327	478	
523	228	455	
482	285	215	
363	131	460	
226	316	627	
257	470	87	
480	663	343	248
570	257		
613	360	138	
133	361	549	
97	282	597	
671	287		
615	362	224	
582	315	229	
670	284		
621	688	547	
427	483		
352	293		
734	484		
335	764		
225	580	656	674
643	384		
668	765	136	
485	414		
113	356	458	268
486	387		
272	665	381	348
487	260	590	
724	430	643	
269	345	570	
324	636	320	
488	247	321	
548	365	215	
537	233	329	
318	244	634	
428	275	383	349
491	341	297	
650	723	225	
680	631	331	
294	220	563	
458	597	358	388
398	232	492	
493	252	562	
329	238	494	
755	473	561	
590	341	495	
82	98	418	
63	761		
492	317	537	
504	659	675	244
161	61		
113	157	422	
186	677	241	
676	473	559	
495	249	669	
494	326	243	
635	374	540	
566	271	368	
499	262	760	
634	306	488	
702	166	292	
239	378	246	
288	475	678	
289	501	493	
206	679	474	
366	433		
669	432	288	
550	471	361	
313	562	499	
502	258	227	
561	166	398	
291	501	301	
214	33	217	
296	475	751	
217	32	654	
243	37	657	467
229	44	649	
585	53	277	
602	682	611	
483	340	569	
104	544	757	
226	46	503	
484	337	372	
303	727	294	708
343	469	416	
720	264	342	
608	78	549	
671	39	700	287
685	463	149	
556	644	594	
284	40	671	
293	43	670	
596	223	156	745
623	77	653	
384	673	275	
219	85	646	
211	80	655	
224	84	621	666
120	282	453	
89	470	464	
298	38	486	
370	679	663	
689	266	377	
325	267	505	
506	270	379	
364	507	261	
508	688	363	
681	290	511	
70	323	430	698
505	691	369	
433	315	66	
367	509	701	
510	507	359	
372	765	376	
340	396	693	371
511	691	723	
385	314	405	
399	677	514	
371	380	689	
360	400	506	
515	319	510	
362	382	508	
693	376	399	
284	88	671	
405	379	515	
293	102	670	
279	667	352	
514	400	374	
401	204	766	407
283	664	749	198
298	108	486	
517	1	516	505
419	496	697	161
401	744	148	207
401	628	766	148
5	468	707	619
695	622	753	641
523	521	522	2
752	412	372	575
553	7	435	524
639	328	169	299
737	380	375	574
512	377	385	404
735	392	386	391
449	15	444	408
452	13	441	449
400	19	506	405
374	404	513	382
32	421	614	52
386	207	409	
402	439	19	451
766	407	3	643
429	27	578	420
451	27	445	26
152	717	396	746
190	174	596	
281	415	417	
701	424	640	414
459	529	342	245
556	414	132	
304	589	465	34
423	38	390	
37	410	467	46
584	406	22	429
309	458	522	38
522	34	419	729
463	415	625	556
43	530	665	59
44	531	532	56
45	558	274	242
673	448	687	293
421	58	52	410
366	286	690	
533	66	62	531
563	520	324	617
323	69	368	533
478	79	438	699
77	397	653	112
521	78	95	534
78	605	534	81
542	177	434	633
80	408	655	110
84	26	666	86
85	403	646	103
26	89	86	529
636	48	564	678
107	665	402	88
111	700	411	91
700	570	91	481
193	106	92	187
94	524	428	117
403	107	402	103
534	108	622	119
408	111	110	411
524	112	117	403
356	521	458	95
115	625	528	75
178	259	521	600
228	550	600	
483	504	526	675
282	422	453	298
507	416	663	460
459	261	245	122
560	125	582	230
131	234	567	60
509	81	346	424
529	357	469	151
157	251	418	522
518	154	702	504
333	499	420	226
393	730	173	147
342	175	464	
481	357	175	263
228	185	517	325
215	511	705	650
546	311	302	710
322	101	480	100
617	320	331	213
502	548	681	
246	510	499	679
258	255	434	479
517	478	523	1
679	760	474	264
446	565	257	470
545	548	260	
274	42	457	337
42	276	752	340
701	53	281	
358	388	664	283
545	79	285	
317	660	289	535
643	498	690	667
169	12	634	492
236	703	294	704
299	490	497	306
321	541	300	527
301	527	614	313
705	303	312	708
729	390	155	672
492	610	10	537
3	536	757	489
326	467	477	316
648	755	68	546
535	329	321	527
76	476	327	
339	627	250	
242	457	466	307
361	389	605	367
377	615	404	362
539	370	363	459
379	666	539	364
605	685	369	463
378	538	477	370
365	516	472	373
574	514	18	400
405	540	24	515
375	512	660	385
513	382	378	538
389	511	572	691
479	227	471	389
141	559	466	242
756	54	759	216
708	669	619	432
455	453	395	436
465	422	395	423
259	255	479	395
397	448	9	452
31	536	618	598
143	154	457	152
501	22	494	493
661	454	200	599
442	416	464	129
577	425	15	584
431	11	426	687
426	610	10	577
433	698	637	431
436	2	437	450
537	488	18	501
21	525	725	498
306	497	291	535
515	27	539	510
538	508	26	507
314	541	513	239
635	493	252	540
142	251	438	589
592	544	591	
620	338	598	543
76	487	482	
202	500	473	210
273	607		
476	482	290	
267	344	605	128
456	325	133	
743	552	696	
57	551	720	
638	591	598	397
253	555	603	
751	554	755	
149	424	417	347
674	636	736	
140	427	237	
311	518	702	
603	67	755	461
302	230	328	
300	326	256	
297	432	680	
736	47	443	176
50	481	250	
709	315	69	
245	129	462	
583	741	763	183
337	675	693	
287	446	265	
699	1	572	6
571	705	516	5
7	616	9	706
399	706	689	512
396	668	7	765
715	604	761	588
56	532	33	530
39	410	700	50
609	240	45	140
278	585	587	764
16	254	31	620
461	709	271	639
651	713	586	568
51	530	59	421
723	731	335	580
199	583	55	
580	656	747	48
576	631	222	65
601	542	418	714
285	699	705	303
750	543	553	77
620	83	750	543
86	607	234	
347	711	90	626
75	193	92	160
180	413	30	350
268	298		
525	544	757	553
528	713	193	
118	456	455	608
73	82	121	589
121	714	235	336
172	554	125	560
127	576	652	222
549	505	437	509
740	35	712	130
688	547	593	131
600	133	344	
176	579		
649	497	532	214
336	135	612	
611	719	704	218
136	722	646	266
654	494	406	243
138	506	655	270
746	12	737	573
432	680	209	475
192	716	525	638
393	520	747	189
17	581	592	544
145	355	273	
450	394	664	661
745	351	156	668
210	194	710	721
454	424	640	644
594	160	36	738
262	503	696	743
182	392	163	21
144	165	23	762
760	101	57	
715	588	296	168
196	170	709	721
438	714	236	703
292	490	658	317
247	195	314	541
656	557	288	443
170	728	754	533
726	618	8	553
230	582	398	150
173	415	625	
707	394	200	
678	202	676	
409	286	279	489
625	75	347	160
205	692	21	31
353	613	441	211
749	61	212	
751	213	500	
232	334	610	134
188	472	295	249
198	199	197	583
218	761	604	
351	668	435	219
238	332	614	137
354	615	439	224
278	669	587	636
221	333	171	
244	737	634	677
